Sınıf;Ad Soyad;T.C.;Şifre
9-B Sayısal;Elif Avcı;31111111148;123456
9-B Sayısal;Kerem Demir;31111111149;123456
9-B Sayısal;Ayşe Erdoğan;31111111150;123456
9-B Sözel;Berk Polat;31111111151;123456
9-B Sözel;Nisan Güneş;31111111152;123456
9-B Sözel;Can Çelik;31111111153;123456
9-B Sözel;Melisa Kara;31111111154;123456
9-B Sözel;Baran Koç;31111111155;123456
9-B Sözel;Sude Polat;31111111156;123456
9-B Sözel;Alp Güneş;31111111157;123456
9-B Sözel;İrem Çelik;31111111158;123456
9-B Sözel;Mert Kara;31111111159;123456
9-B Sözel;Duru Koç;31111111160;123456
9-B Eşit Ağırlık;Ege Yıldız;31111111161;123456
9-B Eşit Ağırlık;Defne Öztürk;31111111162;123456
9-B Eşit Ağırlık;Yiğit Avcı;31111111163;123456
9-B Eşit Ağırlık;Ecrin Demir;31111111164;123456
9-B Eşit Ağırlık;Arda Erdoğan;31111111165;123456
9-B Eşit Ağırlık;Zeynep Yıldız;31111111166;123456
9-B Eşit Ağırlık;Emir Öztürk;31111111167;123456
9-B Eşit Ağırlık;Elif Avcı;31111111168;123456
9-B Eşit Ağırlık;Kerem Demir;31111111169;123456
9-B Eşit Ağırlık;Ayşe Erdoğan;31111111170;123456
9-B Dil;Berk Polat;31111111171;123456
9-B Dil;Nisan Güneş;31111111172;123456
9-B Dil;Can Çelik;31111111173;123456
9-B Dil;Melisa Kara;31111111174;123456
9-B Dil;Baran Koç;31111111175;123456
9-B Dil;Sude Polat;31111111176;123456
9-B Dil;Alp Güneş;31111111177;123456
9-B Dil;İrem Çelik;31111111178;123456
9-B Dil;Mert Kara;31111111179;123456
9-B Dil;Duru Koç;31111111180;123456
9-C Sayısal;Ege Yıldız;31111111181;123456
9-C Sayısal;Defne Öztürk;31111111182;123456
9-C Sayısal;Yiğit Avcı;31111111183;123456
9-C Sayısal;Ecrin Demir;31111111184;123456
9-C Sayısal;Arda Erdoğan;31111111185;123456
9-C Sayısal;Zeynep Yıldız;31111111186;123456
9-C Sayısal;Emir Öztürk;31111111187;123456
9-C Sayısal;Elif Avcı;31111111188;123456
9-C Sayısal;Kerem Demir;31111111189;123456
9-C Sayısal;Ayşe Erdoğan;31111111190;123456
9-C Sözel;Berk Polat;31111111191;123456
9-C Sözel;Nisan Güneş;31111111192;123456
9-C Sözel;Can Çelik;31111111193;123456
9-C Sözel;Melisa Kara;31111111194;123456
9-C Sözel;Baran Koç;31111111195;123456
9-C Sözel;Sude Polat;31111111196;123456
9-C Sözel;Alp Güneş;31111111197;123456
9-C Sözel;İrem Çelik;31111111198;123456
9-C Sözel;Mert Kara;31111111199;123456
9-C Sözel;Duru Koç;31111111200;123456
9-C Eşit Ağırlık;Ege Yıldız;31111111201;123456
9-C Eşit Ağırlık;Defne Öztürk;31111111202;123456
9-C Eşit Ağırlık;Yiğit Avcı;31111111203;123456
9-C Eşit Ağırlık;Ecrin Demir;31111111204;123456
9-C Eşit Ağırlık;Arda Erdoğan;31111111205;123456
9-C Eşit Ağırlık;Zeynep Yıldız;31111111206;123456
9-C Eşit Ağırlık;Emir Öztürk;31111111207;123456
9-C Eşit Ağırlık;Elif Avcı;31111111208;123456
9-C Eşit Ağırlık;Kerem Demir;31111111209;123456
9-C Eşit Ağırlık;Ayşe Erdoğan;31111111210;123456
9-C Dil;Berk Polat;31111111211;123456
9-C Dil;Nisan Güneş;31111111212;123456
9-C Dil;Can Çelik;31111111213;123456
9-C Dil;Melisa Kara;31111111214;123456
9-C Dil;Baran Koç;31111111215;123456
9-C Dil;Sude Polat;31111111216;123456
9-C Dil;Alp Güneş;31111111217;123456
9-C Dil;İrem Çelik;31111111218;123456
9-C Dil;Mert Kara;31111111219;123456
9-C Dil;Duru Koç;31111111220;123456
10-A Sayısal;Ege Yıldız;31111111221;123456
10-A Sayısal;Defne Öztürk;31111111222;123456
10-A Sayısal;Yiğit Avcı;31111111223;123456
10-A Sayısal;Ecrin Demir;31111111224;123456
10-A Sayısal;Arda Erdoğan;31111111225;123456
10-A Sayısal;Zeynep Yıldız;31111111226;123456
10-A Sayısal;Emir Öztürk;31111111227;123456
10-A Sayısal;Elif Avcı;31111111228;123456
10-A Sayısal;Kerem Demir;31111111229;123456
10-A Sayısal;Ayşe Erdoğan;31111111230;123456
10-A Sözel;Berk Polat;31111111231;123456
10-A Sözel;Nisan Güneş;31111111232;123456
10-A Sözel;Can Çelik;31111111233;123456
10-A Sözel;Melisa Kara;31111111234;123456
10-A Sözel;Baran Koç;31111111235;123456
10-A Sözel;Sude Polat;31111111236;123456
10-A Sözel;Alp Güneş;31111111237;123456
10-A Sözel;İrem Çelik;31111111238;123456
10-A Sözel;Mert Kara;31111111239;123456
10-A Sözel;Duru Koç;31111111240;123456
10-A Eşit Ağırlık;Ege Yıldız;31111111241;123456
10-A Eşit Ağırlık;Defne Öztürk;31111111242;123456
10-A Eşit Ağırlık;Yiğit Avcı;31111111243;123456
10-A Eşit Ağırlık;Ecrin Demir;31111111244;123456
10-A Eşit Ağırlık;Arda Erdoğan;31111111245;123456
10-A Eşit Ağırlık;Zeynep Yıldız;31111111246;123456
10-A Eşit Ağırlık;Emir Öztürk;31111111247;123456
10-A Eşit Ağırlık;Elif Avcı;31111111248;123456
10-A Eşit Ağırlık;Kerem Demir;31111111249;123456
10-A Eşit Ağırlık;Ayşe Erdoğan;31111111250;123456
10-A Dil;Berk Polat;31111111251;123456
10-A Dil;Nisan Güneş;31111111252;123456
10-A Dil;Can Çelik;31111111253;123456
10-A Dil;Melisa Kara;31111111254;123456
10-A Dil;Baran Koç;31111111255;123456
10-A Dil;Sude Polat;31111111256;123456
10-A Dil;Alp Güneş;31111111257;123456
10-A Dil;İrem Çelik;31111111258;123456
10-A Dil;Mert Kara;31111111259;123456
10-A Dil;Duru Koç;31111111260;123456
10-B Sayısal;Ege Yıldız;31111111261;123456
10-B Sayısal;Defne Öztürk;31111111262;123456
10-B Sayısal;Yiğit Avcı;31111111263;123456
10-B Sayısal;Ecrin Demir;31111111264;123456
10-B Sayısal;Arda Erdoğan;31111111265;123456
10-B Sayısal;Zeynep Yıldız;31111111266;123456
10-B Sayısal;Emir Öztürk;31111111267;123456
10-B Sayısal;Elif Avcı;31111111268;123456
10-B Sayısal;Kerem Demir;31111111269;123456
10-B Sayısal;Ayşe Erdoğan;31111111270;123456
10-B Sözel;Berk Polat;31111111271;123456
10-B Sözel;Nisan Güneş;31111111272;123456
10-B Sözel;Can Çelik;31111111273;123456
10-B Sözel;Melisa Kara;31111111274;123456
10-B Sözel;Baran Koç;31111111275;123456
10-B Sözel;Sude Polat;31111111276;123456
10-B Sözel;Alp Güneş;31111111277;123456
10-B Sözel;İrem Çelik;31111111278;123456
10-B Sözel;Mert Kara;31111111279;123456
10-B Sözel;Duru Koç;31111111280;123456
10-B Eşit Ağırlık;Ege Yıldız;31111111281;123456
10-B Eşit Ağırlık;Defne Öztürk;31111111282;123456
10-B Eşit Ağırlık;Yiğit Avcı;31111111283;123456
10-B Eşit Ağırlık;Ecrin Demir;31111111284;123456
10-B Eşit Ağırlık;Arda Erdoğan;31111111285;123456
10-B Eşit Ağırlık;Zeynep Yıldız;31111111286;123456
10-B Eşit Ağırlık;Emir Öztürk;31111111287;123456
10-B Eşit Ağırlık;Elif Avcı;31111111288;123456
10-B Eşit Ağırlık;Kerem Demir;31111111289;123456
10-B Eşit Ağırlık;Ayşe Erdoğan;31111111290;123456
10-B Dil;Berk Polat;31111111291;123456
10-B Dil;Nisan Güneş;31111111292;123456
10-B Dil;Can Çelik;31111111293;123456
10-B Dil;Melisa Kara;31111111294;123456
10-B Dil;Baran Koç;31111111295;123456
10-B Dil;Sude Polat;31111111296;123456
10-B Dil;Alp Güneş;31111111297;123456
10-B Dil;İrem Çelik;31111111298;123456
10-B Dil;Mert Kara;31111111299;123456
10-B Dil;Duru Koç;31111111300;123456
10-C Sayısal;Ege Yıldız;31111111301;123456
10-C Sayısal;Defne Öztürk;31111111302;123456
10-C Sayısal;Yiğit Avcı;31111111303;123456
10-C Sayısal;Ecrin Demir;31111111304;123456
10-C Sayısal;Arda Erdoğan;31111111305;123456
10-C Sayısal;Zeynep Yıldız;31111111306;123456
10-C Sayısal;Emir Öztürk;31111111307;123456
10-C Sayısal;Elif Avcı;31111111308;123456
10-C Sayısal;Kerem Demir;31111111309;123456
10-C Sayısal;Ayşe Erdoğan;31111111310;123456
10-C Sözel;Berk Polat;31111111311;123456
10-C Sözel;Nisan Güneş;31111111312;123456
10-C Sözel;Can Çelik;31111111313;123456
10-C Sözel;Melisa Kara;31111111314;123456
10-C Sözel;Baran Koç;31111111315;123456
10-C Sözel;Sude Polat;31111111316;123456
10-C Sözel;Alp Güneş;31111111317;123456
10-C Sözel;İrem Çelik;31111111318;123456
10-C Sözel;Mert Kara;31111111319;123456
10-C Sözel;Duru Koç;31111111320;123456
10-C Eşit Ağırlık;Ege Yıldız;31111111321;123456
10-C Eşit Ağırlık;Defne Öztürk;31111111322;123456
10-C Eşit Ağırlık;Yiğit Avcı;31111111323;123456
10-C Eşit Ağırlık;Ecrin Demir;31111111324;123456
10-C Eşit Ağırlık;Arda Erdoğan;31111111325;123456
10-C Eşit Ağırlık;Zeynep Yıldız;31111111326;123456
10-C Eşit Ağırlık;Emir Öztürk;31111111327;123456
10-C Eşit Ağırlık;Elif Avcı;31111111328;123456
10-C Eşit Ağırlık;Kerem Demir;31111111329;123456
10-C Eşit Ağırlık;Ayşe Erdoğan;31111111330;123456
10-C Dil;Berk Polat;31111111331;123456
10-C Dil;Nisan Güneş;31111111332;123456
10-C Dil;Can Çelik;31111111333;123456
10-C Dil;Melisa Kara;31111111334;123456
10-C Dil;Baran Koç;31111111335;123456
10-C Dil;Sude Polat;31111111336;123456
10-C Dil;Alp Güneş;31111111337;123456
10-C Dil;İrem Çelik;31111111338;123456
10-C Dil;Mert Kara;31111111339;123456
10-C Dil;Duru Koç;31111111340;123456
11-A Sayısal;Ege Yıldız;31111111341;123456
11-A Sayısal;Defne Öztürk;31111111342;123456
11-A Sayısal;Yiğit Avcı;31111111343;123456
11-A Sayısal;Ecrin Demir;31111111344;123456
11-A Sayısal;Arda Erdoğan;31111111345;123456
11-A Sayısal;Zeynep Yıldız;31111111346;123456
11-A Sayısal;Emir Öztürk;31111111347;123456
11-A Sayısal;Elif Avcı;31111111348;123456
11-A Sayısal;Kerem Demir;31111111349;123456
11-A Sayısal;Ayşe Erdoğan;31111111350;123456
11-A Sözel;Berk Polat;31111111351;123456
11-A Sözel;Nisan Güneş;31111111352;123456
11-A Sözel;Can Çelik;31111111353;123456
11-A Sözel;Melisa Kara;31111111354;123456
11-A Sözel;Baran Koç;31111111355;123456
11-A Sözel;Sude Polat;31111111356;123456
11-A Sözel;Alp Güneş;31111111357;123456
11-A Sözel;İrem Çelik;31111111358;123456
11-A Sözel;Mert Kara;31111111359;123456
11-A Sözel;Duru Koç;31111111360;123456
11-A Eşit Ağırlık;Ege Yıldız;31111111361;123456
11-A Eşit Ağırlık;Defne Öztürk;31111111362;123456
11-A Eşit Ağırlık;Yiğit Avcı;31111111363;123456
11-A Eşit Ağırlık;Ecrin Demir;31111111364;123456
11-A Eşit Ağırlık;Arda Erdoğan;31111111365;123456
11-A Eşit Ağırlık;Zeynep Yıldız;31111111366;123456
11-A Eşit Ağırlık;Emir Öztürk;31111111367;123456
11-A Eşit Ağırlık;Elif Avcı;31111111368;123456
11-A Eşit Ağırlık;Kerem Demir;31111111369;123456
11-A Eşit Ağırlık;Ayşe Erdoğan;31111111370;123456
11-A Dil;Berk Polat;31111111371;123456
11-A Dil;Nisan Güneş;31111111372;123456
11-A Dil;Can Çelik;31111111373;123456
11-A Dil;Melisa Kara;31111111374;123456
11-A Dil;Baran Koç;31111111375;123456
11-A Dil;Sude Polat;31111111376;123456
11-A Dil;Alp Güneş;31111111377;123456
11-A Dil;İrem Çelik;31111111378;123456
11-A Dil;Mert Kara;31111111379;123456
11-A Dil;Duru Koç;31111111380;123456
11-B Sayısal;Ege Yıldız;31111111381;123456
11-B Sayısal;Defne Öztürk;31111111382;123456
11-B Sayısal;Yiğit Avcı;31111111383;123456
11-B Sayısal;Ecrin Demir;31111111384;123456
11-B Sayısal;Arda Erdoğan;31111111385;123456
11-B Sayısal;Zeynep Yıldız;31111111386;123456
11-B Sayısal;Emir Öztürk;31111111387;123456
11-B Sayısal;Elif Avcı;31111111388;123456
11-B Sayısal;Kerem Demir;31111111389;123456
11-B Sayısal;Ayşe Erdoğan;31111111390;123456
11-B Sözel;Berk Polat;31111111391;123456
11-B Sözel;Nisan Güneş;31111111392;123456
11-B Sözel;Can Çelik;31111111393;123456
11-B Sözel;Melisa Kara;31111111394;123456
11-B Sözel;Baran Koç;31111111395;123456
11-B Sözel;Sude Polat;31111111396;123456
11-B Sözel;Alp Güneş;31111111397;123456
11-B Sözel;İrem Çelik;31111111398;123456
11-B Sözel;Mert Kara;31111111399;123456
11-B Sözel;Duru Koç;31111111400;123456
11-B Eşit Ağırlık;Ege Yıldız;31111111401;123456
11-B Eşit Ağırlık;Defne Öztürk;31111111402;123456
11-B Eşit Ağırlık;Yiğit Avcı;31111111403;123456
11-B Eşit Ağırlık;Ecrin Demir;31111111404;123456
11-B Eşit Ağırlık;Arda Erdoğan;31111111405;123456
11-B Eşit Ağırlık;Zeynep Yıldız;31111111406;123456
11-B Eşit Ağırlık;Emir Öztürk;31111111407;123456
11-B Eşit Ağırlık;Elif Avcı;31111111408;123456
11-B Eşit Ağırlık;Kerem Demir;31111111409;123456
11-B Eşit Ağırlık;Ayşe Erdoğan;31111111410;123456
11-B Dil;Berk Polat;31111111411;123456
11-B Dil;Nisan Güneş;31111111412;123456
11-B Dil;Can Çelik;31111111413;123456
11-B Dil;Melisa Kara;31111111414;123456
11-B Dil;Baran Koç;31111111415;123456
11-B Dil;Sude Polat;31111111416;123456
11-B Dil;Alp Güneş;31111111417;123456
11-B Dil;İrem Çelik;31111111418;123456
11-B Dil;Mert Kara;31111111419;123456
11-B Dil;Duru Koç;31111111420;123456
11-C Sayısal;Ege Yıldız;31111111421;123456
11-C Sayısal;Defne Öztürk;31111111422;123456
11-C Sayısal;Yiğit Avcı;31111111423;123456
11-C Sayısal;Ecrin Demir;31111111424;123456
11-C Sayısal;Arda Erdoğan;31111111425;123456
11-C Sayısal;Zeynep Yıldız;31111111426;123456
11-C Sayısal;Emir Öztürk;31111111427;123456
11-C Sayısal;Elif Avcı;31111111428;123456
11-C Sayısal;Kerem Demir;31111111429;123456
11-C Sayısal;Ayşe Erdoğan;31111111430;123456
11-C Sözel;Berk Polat;31111111431;123456
11-C Sözel;Nisan Güneş;31111111432;123456
11-C Sözel;Can Çelik;31111111433;123456
11-C Sözel;Melisa Kara;31111111434;123456
11-C Sözel;Baran Koç;31111111435;123456
11-C Sözel;Sude Polat;31111111436;123456
11-C Sözel;Alp Güneş;31111111437;123456
11-C Sözel;İrem Çelik;31111111438;123456
11-C Sözel;Mert Kara;31111111439;123456
11-C Sözel;Duru Koç;31111111440;123456
11-C Eşit Ağırlık;Ege Yıldız;31111111441;123456
11-C Eşit Ağırlık;Defne Öztürk;31111111442;123456
11-C Eşit Ağırlık;Yiğit Avcı;31111111443;123456
11-C Eşit Ağırlık;Ecrin Demir;31111111444;123456
11-C Eşit Ağırlık;Arda Erdoğan;31111111445;123456
11-C Eşit Ağırlık;Zeynep Yıldız;31111111446;123456
11-C Eşit Ağırlık;Emir Öztürk;31111111447;123456
11-C Eşit Ağırlık;Elif Avcı;31111111448;123456
11-C Eşit Ağırlık;Kerem Demir;31111111449;123456
11-C Eşit Ağırlık;Ayşe Erdoğan;31111111450;123456
11-C Dil;Berk Polat;31111111451;123456
11-C Dil;Nisan Güneş;31111111452;123456
11-C Dil;Can Çelik;31111111453;123456
11-C Dil;Melisa Kara;31111111454;123456
11-C Dil;Baran Koç;31111111455;123456
11-C Dil;Sude Polat;31111111456;123456
11-C Dil;Alp Güneş;31111111457;123456
11-C Dil;İrem Çelik;31111111458;123456
11-C Dil;Mert Kara;31111111459;123456
11-C Dil;Duru Koç;31111111460;123456
12-A Sayısal;Ege Yıldız;31111111461;123456
12-A Sayısal;Defne Öztürk;31111111462;123456
12-A Sayısal;Yiğit Avcı;31111111463;123456
12-A Sayısal;Ecrin Demir;31111111464;123456
12-A Sayısal;Arda Erdoğan;31111111465;123456
12-A Sayısal;Zeynep Yıldız;31111111466;123456
12-A Sayısal;Emir Öztürk;31111111467;123456
12-A Sayısal;Elif Avcı;31111111468;123456
12-A Sayısal;Kerem Demir;31111111469;123456
12-A Sayısal;Ayşe Erdoğan;31111111470;123456
12-A Sözel;Berk Polat;31111111471;123456
12-A Sözel;Nisan Güneş;31111111472;123456
12-A Sözel;Can Çelik;31111111473;123456
12-A Sözel;Melisa Kara;31111111474;123456
12-A Sözel;Baran Koç;31111111475;123456
12-A Sözel;Sude Polat;31111111476;123456
12-A Sözel;Alp Güneş;31111111477;123456
12-A Sözel;İrem Çelik;31111111478;123456
12-A Sözel;Mert Kara;31111111479;123456
12-A Sözel;Duru Koç;31111111480;123456
12-A Eşit Ağırlık;Ege Yıldız;31111111481;123456
12-A Eşit Ağırlık;Defne Öztürk;31111111482;123456
12-A Eşit Ağırlık;Yiğit Avcı;31111111483;123456
12-A Eşit Ağırlık;Ecrin Demir;31111111484;123456
12-A Eşit Ağırlık;Arda Erdoğan;31111111485;123456
12-A Eşit Ağırlık;Zeynep Yıldız;31111111486;123456
12-A Eşit Ağırlık;Emir Öztürk;31111111487;123456
12-A Eşit Ağırlık;Elif Avcı;31111111488;123456
12-A Eşit Ağırlık;Kerem Demir;31111111489;123456
12-A Eşit Ağırlık;Ayşe Erdoğan;31111111490;123456
12-A Dil;Berk Polat;31111111491;123456
12-A Dil;Nisan Güneş;31111111492;123456
12-A Dil;Can Çelik;31111111493;123456
12-A Dil;Melisa Kara;31111111494;123456
12-A Dil;Baran Koç;31111111495;123456
12-A Dil;Sude Polat;31111111496;123456
12-A Dil;Alp Güneş;31111111497;123456
12-A Dil;İrem Çelik;31111111498;123456
12-A Dil;Mert Kara;31111111499;123456
12-A Dil;Duru Koç;31111111500;123456
12-B Sayısal;Ege Yıldız;31111111501;123456
12-B Sayısal;Defne Öztürk;31111111502;123456
12-B Sayısal;Yiğit Avcı;31111111503;123456
12-B Sayısal;Ecrin Demir;31111111504;123456
12-B Sayısal;Arda Erdoğan;31111111505;123456
12-B Sayısal;Zeynep Yıldız;31111111506;123456
12-B Sayısal;Emir Öztürk;31111111507;123456
12-B Sayısal;Elif Avcı;31111111508;123456
12-B Sayısal;Kerem Demir;31111111509;123456
12-B Sayısal;Ayşe Erdoğan;31111111510;123456
12-B Sözel;Berk Polat;31111111511;123456
12-B Sözel;Nisan Güneş;31111111512;123456
12-B Sözel;Can Çelik;31111111513;123456
12-B Sözel;Melisa Kara;31111111514;123456
12-B Sözel;Baran Koç;31111111515;123456
12-B Sözel;Sude Polat;31111111516;123456
12-B Sözel;Alp Güneş;31111111517;123456
12-B Sözel;İrem Çelik;31111111518;123456
12-B Sözel;Mert Kara;31111111519;123456
12-B Sözel;Duru Koç;31111111520;123456
12-B Eşit Ağırlık;Ege Yıldız;31111111521;123456
12-B Eşit Ağırlık;Defne Öztürk;31111111522;123456
12-B Eşit Ağırlık;Yiğit Avcı;31111111523;123456
12-B Eşit Ağırlık;Ecrin Demir;31111111524;123456
12-B Eşit Ağırlık;Arda Erdoğan;31111111525;123456
12-B Eşit Ağırlık;Zeynep Yıldız;31111111526;123456
12-B Eşit Ağırlık;Emir Öztürk;31111111527;123456
12-B Eşit Ağırlık;Elif Avcı;31111111528;123456
12-B Eşit Ağırlık;Kerem Demir;31111111529;123456
12-B Eşit Ağırlık;Ayşe Erdoğan;31111111530;123456
12-B Dil;Berk Polat;31111111531;123456
12-B Dil;Nisan Güneş;31111111532;123456
12-B Dil;Can Çelik;31111111533;123456
12-B Dil;Melisa Kara;31111111534;123456
12-B Dil;Baran Koç;31111111535;123456
12-B Dil;Sude Polat;31111111536;123456
12-B Dil;Alp Güneş;31111111537;123456
12-B Dil;İrem Çelik;31111111538;123456
12-B Dil;Mert Kara;31111111539;123456
12-B Dil;Duru Koç;31111111540;123456
12-C Sayısal;Ege Yıldız;31111111541;123456
12-C Sayısal;Defne Öztürk;31111111542;123456
12-C Sayısal;Yiğit Avcı;31111111543;123456
12-C Sayısal;Ecrin Demir;31111111544;123456
12-C Sayısal;Arda Erdoğan;31111111545;123456
12-C Sayısal;Zeynep Yıldız;31111111546;123456
12-C Sayısal;Emir Öztürk;31111111547;123456
12-C Sayısal;Elif Avcı;31111111548;123456
12-C Sayısal;Kerem Demir;31111111549;123456
12-C Sayısal;Ayşe Erdoğan;31111111550;123456
12-C Sözel;Berk Polat;31111111551;123456
12-C Sözel;Nisan Güneş;31111111552;123456
12-C Sözel;Can Çelik;31111111553;123456
12-C Sözel;Melisa Kara;31111111554;123456
12-C Sözel;Baran Koç;31111111555;123456
12-C Sözel;Sude Polat;31111111556;123456
12-C Sözel;Alp Güneş;31111111557;123456
12-C Sözel;İrem Çelik;31111111558;123456
12-C Sözel;Mert Kara;31111111559;123456
12-C Sözel;Duru Koç;31111111560;123456
12-C Eşit Ağırlık;Ege Yıldız;31111111561;123456
12-C Eşit Ağırlık;Defne Öztürk;31111111562;123456
12-C Eşit Ağırlık;Yiğit Avcı;31111111563;123456
12-C Eşit Ağırlık;Ecrin Demir;31111111564;123456
12-C Eşit Ağırlık;Arda Erdoğan;31111111565;123456
12-C Eşit Ağırlık;Zeynep Yıldız;31111111566;123456
12-C Eşit Ağırlık;Emir Öztürk;31111111567;123456
12-C Eşit Ağırlık;Elif Avcı;31111111568;123456
12-C Eşit Ağırlık;Kerem Demir;31111111569;123456
12-C Eşit Ağırlık;Ayşe Erdoğan;31111111570;123456
12-C Dil;Berk Polat;31111111571;123456
12-C Dil;Nisan Güneş;31111111572;123456
12-C Dil;Can Çelik;31111111573;123456
12-C Dil;Melisa Kara;31111111574;123456
12-C Dil;Baran Koç;31111111575;123456
12-C Dil;Sude Polat;31111111576;123456
12-C Dil;Alp Güneş;31111111577;123456
12-C Dil;İrem Çelik;31111111578;123456
12-C Dil;Mert Kara;31111111579;123456
12-C Dil;Duru Koç;31111111580;123456
